basin,masl,isolation_depth_cm,sample_name,sample_depth_cm,purpose_context,lab_no,14c,error
OSL-1 Søndre Trollvann,171,874,OSL-1-1,871-872,Isolation boundary,Poz-146876,9330,50
OSL-1 Søndre Trollvann,171,874,OSL-1-2,872-873,Isolation boundary,Poz-146877,9350,50
OSL-1 Søndre Trollvann,171,874,OSL-1-3,873-874,Isolation boundary,Poz-146992,9380,60
OSL-2 Sprengtjern,140,,,,,,,
OSL-3 Smørholet,201,764,OSL-3-1,757-759,Isolation boundary,Poz-146993,9340,50
OSL-3 Smørholet,201,764,OSL-3-2,759-761,Isolation boundary,Poz-147263,10610,60
OSL-3 Smørholet,201,764,OSL-3-3,761-763,Isolation boundary,Poz-147264,9560,50
OSL-3 Smørholet,201,764,OSL-3-4,1130-1140,Deepest strata,Poz-146994,875,30
OSL-3 Smørholet,201,764,OSL-3-5,1130-1140,Deepest strata,Poz-146996,1500,30
OSL-4 Olavsmyr,213,720,OSL-4-1,715-717,Isolation boundary,Poz-146997,9770,60
OSL-4 Olavsmyr,213,720,OSL-4-2,717-719,Isolation boundary,Poz-146998,9890,60
OSL-4 Olavsmyr,213,720,OSL-4-3,719-721,Isolation boundary,Poz-146999,10250,60
